0:0:0:0:0:0:0:1 - - [01/May/2021:00:37:45 +0530] "GET /Cab_It/update/location HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:37:45 +0530] "GET /Cab_It/fetch/location HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:37:45 +0530] "GET /Cab_It/location/search.jsp HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [01/May/2021:00:37:47 +0530] "POST /Cab_It/fetch/location HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:37:47 +0530] "GET /Cab_It/fetch/location HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:37:47 +0530] "GET /Cab_It/location/search.jsp HTTP/1.1" 200 732
0:0:0:0:0:0:0:1 - - [01/May/2021:00:37:48 +0530] "GET /Cab_It/delete/location?id=LOC_00003 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:37:48 +0530] "GET /Cab_It/location/delete.jsp HTTP/1.1" 200 589
0:0:0:0:0:0:0:1 - - [01/May/2021:00:37:50 +0530] "GET /Cab_It/dashboard HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:37:50 +0530] "GET /Cab_It/admin/dashboard HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:37:50 +0530] "GET /Cab_It/admin/dashboard.jsp HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [01/May/2021:00:37:54 +0530] "GET /Cab_It/fetch/advertisement HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:37:54 +0530] "GET /Cab_It/advertisement/search.jsp HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [01/May/2021:00:37:56 +0530] "POST /Cab_It/fetch/advertisement HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:37:56 +0530] "GET /Cab_It/fetch/advertisement HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:37:56 +0530] "GET /Cab_It/advertisement/search.jsp HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [01/May/2021:00:37:57 +0530] "GET /Cab_It/dashboard HTTP/1.1" 302 -
